"hgnc_symbol","ensembl_gene_id"
"PSORS1C3","ENSG00000231450"
"PSORS1C3","ENSG00000223364"
"PSORS1C3","ENSG00000204528"
"PSORS1C3","ENSG00000230983"
"PSORS1C3","ENSG00000224056"
"PSORS1C3","ENSG00000226422"
"PSORS1C3","ENSG00000224744"
"REXO1L1P","ENSG00000205176"
"RFPL1S","ENSG00000225465"
"RORB-AS1","ENSG00000224825"
"RPL21P44","ENSG00000229585"
"RPL23AP64","ENSG00000281913"
"RPL23AP64","ENSG00000240970"
"SATB1-AS1","ENSG00000228956"
"SCAND2P","ENSG00000291642"
"SCAND2P","ENSG00000176700"
"SCGB2B3P","ENSG00000269811"
"SEMA3B-AS1","ENSG00000232352"
"SLC25A25-AS1","ENSG00000234771"
"SLC26A4-AS1","ENSG00000233705"
"SNORA58","ENSG00000249020"
"SNORD103A","ENSG00000310736"
"SNORD111B","ENSG00000221514"
"SNORD123","ENSG00000239112"
"SNORD44","ENSG00000310745"
"SNORD47","ENSG00000310741"
"SNORD58C","ENSG00000202093"
"SNORD79","ENSG00000310743"
"SNORD91A","ENSG00000212163"
"SRP54-AS1","ENSG00000258704"
"STARD7-AS1","ENSG00000204685"
"SUZ12P1","ENSG00000264538"
"TCL6","ENSG00000187621"
"TEX21P","ENSG00000234911"
"TMC3-AS1","ENSG00000259343"
"TMED11P","ENSG00000215367"
"TMEM254-AS1","ENSG00000230091"
"TMEM44-AS1","ENSG00000231770"
"TTC21B-AS1","ENSG00000224490"
"UPK1A-AS1","ENSG00000226510"
"UQCRBP1","ENSG00000237748"
"YWHAEP1","ENSG00000232727"
"ZNF663P","ENSG00000215452"
"ZNF815P","ENSG00000235944"
"ZNRF2P1","ENSG00000237004"
"ADIRF-AS1","ENSG00000272734"
"AKR7A2P1","ENSG00000280751"
"AKR7A2P1","ENSG00000229020"
"ALOX15P1","ENSG00000274114"
"ANAPC1P1","ENSG00000233673"
"ANKRD10-IT1","ENSG00000229152"
"ANTXRLP1","ENSG00000263482"
"ANXA2P1","ENSG00000213406"
"ATXN8","ENSG00000288330"
"BAALC-AS2","ENSG00000236939"
"C20orf181","ENSG00000279610"
"CDR1","ENSG00000288642"
"CECR7","ENSG00000237438"
"CES1P2","ENSG00000260765"
"ERVH-3","ENSG00000227706"
"EXOC3-AS1","ENSG00000221990"
"FAM21EP","ENSG00000235618"
"FAM220BP","ENSG00000176007"
"FAM41AY1","ENSG00000224989"
"FAM90A27P","ENSG00000189348"
"FDPSP2","ENSG00000233980"
"FRG2DP","ENSG00000261711"
"GEMIN8P4","ENSG00000228175"
"GGT8P","ENSG00000236969"
"GSTM2P1","ENSG00000218803"
"GXYLT1P3","ENSG00000232433"
"HBBP1","ENSG00000229988"
"HCG4","ENSG00000236225"
"HCG4","ENSG00000225346"
"HCG4","ENSG00000235317"
"HCG4","ENSG00000176998"
"HCG4","ENSG00000224564"
"HCG4","ENSG00000228706"
"HCG4","ENSG00000237905"
"HCG4","ENSG00000226379"
"HCG4B","ENSG00000231287"
"HCG4B","ENSG00000231941"
"HCG4B","ENSG00000227956"
"HCG4B","ENSG00000227262"
"HCG4B","ENSG00000236033"
"HCG4B","ENSG00000226563"
"HCG4B","ENSG00000220391"
"HERC2P4","ENSG00000230267"
"HTATSF1P2","ENSG00000271361"
"ISM1-AS1","ENSG00000226263"
"KIF9-AS1","ENSG00000227398"
"LHX5-AS1","ENSG00000257935"
"LINC00111","ENSG00000227702"
"LINC00159","ENSG00000230323"
"LINC00226","ENSG00000276210"
"LINC00333","ENSG00000233349"
"LINC00384","ENSG00000232117"
"LINC00412","ENSG00000234772"
"LINC00428","ENSG00000229546"
"LINC00502","ENSG00000224851"
"LINC00700","ENSG00000234962"
"LINC00930","ENSG00000258647"
"LINC01002","ENSG00000282508"
"LINC01344","ENSG00000228918"
"LINC01355","ENSG00000283124"
"LINC01355","ENSG00000261326"
"LINC01377","ENSG00000249808"
"LINC01424","ENSG00000236519"
"LINC01461","ENSG00000289881"
"LINC01509","ENSG00000226825"
"LINC01521","ENSG00000213888"
"LINC01546","ENSG00000228459"
"LINC01548","ENSG00000229086"
"LINC01571","ENSG00000260057"
"LRRC37BP1","ENSG00000250462"
"MAP3K14-AS1","ENSG00000267278"
"MED14OS","ENSG00000234636"
"MNX1-AS1","ENSG00000243479"
"MSX2P1","ENSG00000229590"
"MTUS2-AS1","ENSG00000179141"
"NAPA-AS1","ENSG00000268061"
"NAT8B","ENSG00000291485"
"NAT8B","ENSG00000204872"
"NEBL-AS1","ENSG00000231920"
"OR10J3","ENSG00000291901"
"OR10J3","ENSG00000196266"
"OR5E1P","ENSG00000280497"
"OR5E1P","ENSG00000281056"
"OR5E1P","ENSG00000170688"
"OR6W1P","ENSG00000179420"
"OR6W1P","ENSG00000274360"
"P2RX6P","ENSG00000206145"
"PAXIP1-AS2","ENSG00000214106"
"PHKA2-AS1","ENSG00000237836"
"PMS2P9","ENSG00000233448"
"POTEKP","ENSG00000204434"
"PRR7-AS1","ENSG00000246334"
"RBMY2EP","ENSG00000223637"
"RNF138P1","ENSG00000250853"
"RPL23AP53","ENSG00000223508"
"RPS10P7","ENSG00000223396"
"RPSAP9","ENSG00000234618"
"SERPINB9P1","ENSG00000230438"
"SERTAD4-AS1","ENSG00000280963"
"SERTAD4-AS1","ENSG00000203706"
"SLC25A30-AS1","ENSG00000251015"
"SLCO1B7","ENSG00000205754"
"SMARCA5-AS1","ENSG00000245112"
"SMG6-IT1","ENSG00000278941"
"SNORD126","ENSG00000291787"
"SNORD126","ENSG00000238344"
"SNORD76","ENSG00000310747"
"SNORD77","ENSG00000310746"
"SNORD80","ENSG00000310742"
"SP3P","ENSG00000225530"
"ST20-AS1","ENSG00000259642"
"ST3GAL5-AS1","ENSG00000232504"
"SUMO1P3","ENSG00000235082"
"TGFB2-AS1","ENSG00000232480"
"TMEM212-AS1","ENSG00000234717"
"TNK2-AS1","ENSG00000224614"
"TNRC18P1","ENSG00000249661"
"TOB2P1","ENSG00000176933"
"TPTE2P5","ENSG00000168852"
"TRERNA1","ENSG00000231265"
"TTTY16","ENSG00000290323"
"TTTY6","ENSG00000131538"
"UBE2E4P","ENSG00000233247"
"UBE2MP1","ENSG00000261461"
"ULK4P3","ENSG00000282509"
"ULK4P3","ENSG00000178081"
"UOX","ENSG00000240520"
"VENTXP7","ENSG00000236380"
"VN1R10P","ENSG00000220758"
"WAC-AS1","ENSG00000254635"
"WHAMMP1","ENSG00000223509"
"WHAMMP2","ENSG00000282540"
"WHAMMP2","ENSG00000248334"
"ZNF137P","ENSG00000123870"
"ZRANB2-AS1","ENSG00000235079"
"ACTG1P20","ENSG00000241547"
"ACTG1P4","ENSG00000236085"
"ADAM1A","ENSG00000229186"
